"x","y","group"
6.12077185489628,5.5688269156118,"MCF7"
6.54291330641712,5.8182653740966,"MCF7"
5.60052137056207,4.09858887408105,"MCF7"
5.5906369870105,5.2378222146387,"MCF7"
5.25707523497257,5.67204040016167,"MCF7"
6.25941647338406,5.07332835032507,"MCF7"
5.61465429993964,3.76054515135097,"MCF7"
6.13838060963788,6.50914067376298,"MCF7"
5.1119919882785,4.27939360452506,"MCF7"
5.39204647380902,4.69070110206529,"MCF7"
4.16516703327585,4.67662756482692,"MCF7"
5.68762352407782,5.89265956012051,"MCF7"
5.53399583569353,4.99371301154861,"MCF7"
4.5772363506615,4.8798245328164,"MCF7"
7.55253106271572,6.90684159211055,"MCF7"
7.69126771687055,5.56524644697576,"MCF7"
6.81070355587806,5.9597141260351,"MCF7"
6.67917695813719,5.82229932208387,"MCF7"
5.96386961571606,6.15079845868212,"MCF7"
7.09014130149929,5.45773987878461,"MCF7"
7.6877684735111,6.70342296123668,"MCF7"
4.57578839712181,3.83418020149465,"MCF7"
8.32420022045125,6.75589593118668,"MCF7"
5.9640758220441,5.65984556475887,"MCF7"
5.84179593058863,5.64250691608352,"MCF7"
6.25057181369694,6.69627109933971,"MCF7"
5.93560558262357,6.66696546145689,"MCF7"
5.99492250921513,6.45710220776925,"MCF7"
4.77072938339171,4.10805753367389,"MCF7"
5.26784415328769,4.89935290293423,"MCF7"
5.68674156181117,4.94966882705625,"MCF7"
5.94684736146898,5.51677558227825,"MCF7"
4.63999881300919,6.11112319994962,"MCF7"
6.24611940451601,5.95151420784169,"MCF7"
6.6131237435514,4.61566645941267,"MCF7"
5.28410720092217,5.43795883517054,"MCF7"
6.05275917225252,5.31676661547288,"MCF7"
5.95885358319798,5.41066007861346,"MCF7"
6.13573586765727,5.83065040532728,"MCF7"
5.95597406290961,5.45669837629078,"MCF7"
6.62443763306454,6.60672751449423,"A549"
6.77081677322001,6.66917356047009,"A549"
7.61424722055195,7.5376032139467,"A549"
6.35048788890355,7.34300722890655,"A549"
7.44086450024347,6.4867007920826,"A549"
6.67100006695086,5.8099066579544,"A549"
6.83184669447237,7.94192908788702,"A549"
7.64879685340336,8.12501928029354,"A549"
7.69222670602995,7.71729080862426,"A549"
7.64736778221424,6.32432566340405,"A549"
7.07405480678236,7.25495009266177,"A549"
7.26667308950871,6.02926093111763,"A549"
8.08611054027145,7.60161369279646,"A549"
6.89465970106912,6.56701724615629,"A549"
7.19098639022447,7.19583146087616,"A549"
7.28578355479009,5.6334538619351,"A549"
7.873331675205,6.43435907475116,"A549"
8.31567313926003,7.37470521400718,"A549"
7.56325892054652,7.02407074579462,"A549"
6.25159135218105,6.6842577468983,"A549"
7.21209790320535,7.58520578964184,"A549"
7.49585946731659,6.3428404221398,"A549"
5.50448628061021,4.30756305681969,"A549"
7.64629302608462,6.9697315534589,"A549"
5.95208592956697,6.29108599341622,"A549"
6.38077124061887,6.44668400044657,"A549"
7.80564377759197,6.5889416470293,"A549"
7.42395782712981,6.94149401300269,"A549"
7.0707234738977,5.72614272592124,"A549"
7.29979104390688,7.34141601551515,"A549"
7.88109550780781,7.03094535406234,"A549"
7.18270111675336,7.30987968303122,"A549"
5.34965949758953,4.83348733223993,"A549"
8.20798181411669,8.11460023803587,"A549"
8.04691342973746,7.73615703354862,"A549"
8.01299255039623,7.28871433915202,"A549"
7.88307780200674,8.06644734824386,"A549"
8.62014927554725,7.29713443529046,"A549"
7.18995451587493,5.80646085862205,"A549"
7.59571217628507,8.25291095544259,"A549"
5.70072156120063,3.88920907282189,"HepG2"
6.20012065963145,4.88617189066862,"HepG2"
7.00710842613615,5.45292771217719,"HepG2"
5.30255696478773,5.06132678835491,"HepG2"
5.77397879616469,5.65187898197743,"HepG2"
4.9240299034266,4.69452669190999,"HepG2"
6.73215997376495,6.27371596662723,"HepG2"
5.25651841868992,5.58700193686594,"HepG2"
5.45283371267638,4.13235828580561,"HepG2"
4.64668290106096,4.31645749699308,"HepG2"
5.8043304586776,4.38425718523737,"HepG2"
7.73674654639716,5.63050538780167,"HepG2"
4.19709014828699,3.57778400161164,"HepG2"
5.54630536468631,5.29075017909422,"HepG2"
4.86185536281512,4.64780920556247,"HepG2"
4.25984898485219,5.25914710265287,"HepG2"
5.7921395298633,4.08369629916499,"HepG2"
5.3942362163458,4.96199386819156,"HepG2"
6.08174714796827,5.89880923041292,"HepG2"
6.22266422970678,3.88530682880304,"HepG2"
6.77731852153866,5.50112166272321,"HepG2"
7.37431391945252,6.47241996531416,"HepG2"
6.90712527142504,5.53588584313655,"HepG2"
5.47630256692836,4.99443597984812,"HepG2"
5.61151541410871,5.24602872137058,"HepG2"
6.49530524115043,4.80604163241543,"HepG2"
5.85217979999225,6.03177261867945,"HepG2"
6.64580433563538,6.06588055206678,"HepG2"
5.43788146033005,3.81553600570691,"HepG2"
4.61373312449093,3.71572449651749,"HepG2"
6.63630192401631,6.16930864093687,"HepG2"
6.74377401723256,5.55800538550684,"HepG2"
4.49041548796642,3.53976769000452,"HepG2"
6.59590229591319,6.07870422449879,"HepG2"
6.05957159619883,5.78735495103876,"HepG2"
5.61034270096417,4.26975736561011,"HepG2"
6.36388289601253,6.60718935980751,"HepG2"
6.13355994008663,5.14460978711776,"HepG2"
5.44141702276696,5.91475427130004,"HepG2"
5.41384988027089,5.4251588954046,"HepG2"
