"group","value"
"A",2.13005291771815
"A",1.67450445664194
"A",2.5346867870434
"A",2.35758834631248
"A",2.98137080066778
"A",2.41356526515183
"A",1.23125202193931
"A",1.87211328843298
"A",3.13792392314556
"A",3.06611792820963
"A",2.33996269890819
"A",2.00943167240274
"A",2.22983440311029
"A",1.97291773045201
"A",2.0206111444382
"A",2.10141606453098
"A",2.6990161034166
"A",1.97347760164875
"A",1.93977893444846
"A",1.82993325867585
"A",2.92448898852259
"A",2.09910141182595
"A",2.78457341615274
"A",2.77295412675295
"A",2.35573816438882
"A",1.83023378940664
"A",2.75353041535991
"A",2.54590349073717
"A",1.44318313695539
"A",2.74410850280189
"B",3.29207850773278
"B",3.83115954739377
"B",2.74747327230949
"B",2.31068652820926
"B",3.71667912349863
"B",2.9572881015458
"B",3.06355674963583
"B",3.7604577025175
"B",2.92046247212543
"B",2.81747390085787
"B",4.00622517571962
"B",3.30892123075876
"B",3.97550740185029
"B",2.18717085448112
"B",2.70740385342143
"B",2.68271231354014
"B",3.25930621348277
"B",2.97460691348098
"B",3.63434249317056
"B",2.12157078885648
"B",2.80175411505427
"B",2.82576410676249
"B",3.1522205408971
"B",3.46137485769764
"B",4.38254058183454
"B",2.84194479649452
"B",2.86849567303462
"B",3.61757998022066
"B",3.10660162123521
"B",4.00933891711864
"C",1.86573846475661
"C",2.93222537340206
"C",1.74363911773126
"C",3.43184735112595
"C",2.46569150533134
"C",2.28415577554253
"C",2.20132223851327
"C",2.84471604114069
"C",2.66308451974836
"C",2.31436337851869
"C",2.47933844872163
"C",2.15716746691379
"C",1.9205469625004
"C",2.49025864605353
"C",2.76086714140946
"C",2.2152297609396
"C",2.51876915626983
"C",2.06703894379254
"C",2.00159624507862
"C",2.37415153434431
"C",3.04346416664876
"C",2.29292516863081
"C",2.1126272678493
"C",1.66463647785384
"C",1.88363078358875
"C",1.74673757238017
"C",1.98087379634043
"C",1.83467315948761
"C",2.58437408764151
"C",2.29909848983456
