"x","y","size","group"
1.79859971707903,2.82928847555756,17,"Kidney"
-1.67242889162391,0.78967246434818,25,"Lung"
-0.623128019004758,2.52052034774901,30,"Lung"
0.785012013201292,1.39977058894793,12,"Kidney"
-0.326786128287045,1.51686492966809,13,"Lung"
1.23622000814384,3.45015028970374,30,"Brain"
0.0579130209722197,2.18844361796921,41,"Lung"
-0.106484764049511,0.636691450504695,26,"Liver"
-0.13442565903201,0.0424267164361837,27,"Liver"
-0.164487934971087,0.862855807296143,8,"Kidney"
-0.150455511790454,0.62731293153642,19,"Kidney"
1.19595547561887,2.49180205529821,20,"Lung"
0.316082496312008,0.699004718392785,34,"Kidney"
1.34387258129268,1.84892387409335,32,"Liver"
1.26175053811672,2.13855081920846,28,"Liver"
-1.73899075150842,0.743435174549733,17,"Brain"
-0.229061070122439,2.06671863809585,39,"Brain"
0.699726284452555,1.8161494879398,14,"Brain"
3.16763833472464,2.30107812858948,56,"Brain"
0.831781301763897,1.62996195378646,39,"Liver"
0.485165863172737,2.43755894637347,35,"Liver"
-0.482598785240166,0.964752433176217,22,"Lung"
-0.8653479430496,0.668432810711822,20,"Brain"
-0.789068359826124,0.720406990057743,17,"Brain"
-1.22893222811429,2.31604392492356,38,"Lung"
1.20967022654561,1.47812319783306,20,"Liver"
-0.457905554088517,0.412675056550008,21,"Lung"
0.681329861384924,1.08022744771201,30,"Liver"
-0.337329691218275,0.995470348991395,26,"Lung"
-1.17433495552209,1.21742856238072,40,"Liver"
1.52902217482831,2.89897085542545,26,"Liver"
-2.07873791292656,1.27441215012307,27,"Lung"
0.820243968960604,1.87353290329458,17,"Kidney"
0.603309354733745,0.333583246504139,15,"Lung"
0.754157773108431,1.78631038155835,27,"Lung"
-0.405089478933534,0.0166163428797332,14,"Brain"
-0.209253146580459,0.212345551683357,32,"Lung"
0.553611876479265,0.827601861419734,25,"Liver"
0.863033300403257,1.82931907475093,13,"Kidney"
-2.65468617517742,0.568961984214585,26,"Lung"
